Category,Difficulty,Duration,Platform,LearningPace,Rating,Subject,URL
Microprocessor Systems,Intermediate,9,Unacademy,Moderate,3,CS,https://example.com/course/167
Microprocessor Systems,Advanced,11,Pluralsight,Fast,5,CS,https://example.com/course/168
DSA,Beginner,10,Pluralsight,Moderate,1,CS,https://example.com/course/169
Microprocessor Systems,Advanced,2,Udemy,Slow,4,CS,https://example.com/course/170
Digital Logic Design,Advanced,1,Coursera,Fast,4,CS,https://example.com/course/171
Digital Logic Design,Advanced,4,edX,Fast,5,CS,https://example.com/course/172
Microprocessor Systems,Beginner,9,Pluralsight,Slow,5,CS,https://example.com/course/173
Microprocessor Systems,Intermediate,4,Coursera,Fast,3,CS,https://example.com/course/174
Microprocessor Systems,Beginner,3,Coursera,Moderate,4,CS,https://example.com/course/175
Data Analytics,Advanced,6,Coursera,Fast,5,CS,https://example.com/course/176
Data Analytics,Advanced,11,edX,Moderate,2,CS,https://example.com/course/177
DSA,Beginner,11,Pluralsight,Slow,3,CS,https://example.com/course/178
ML,Advanced,4,Unacademy,Slow,1,CS,https://example.com/course/179
Digital Logic Design,Advanced,12,Pluralsight,Moderate,5,CS,https://example.com/course/180
DSA,Beginner,1,Udemy,Slow,2,CS,https://example.com/course/181
DSA,Beginner,5,Coursera,Fast,2,CS,https://example.com/course/182
ML,Intermediate,6,edX,Fast,5,CS,https://example.com/course/183
Data Analytics,Intermediate,3,Coursera,Slow,4,CS,https://example.com/course/184
Microprocessor Systems,Advanced,8,Coursera,Slow,1,CS,https://example.com/course/185
ML,Advanced,8,Coursera,Fast,4,CS,https://example.com/course/186
Data Analytics,Beginner,12,Coursera,Fast,4,CS,https://example.com/course/187
Digital Logic Design,Intermediate,2,Udemy,Moderate,2,CS,https://example.com/course/188
Data Analytics,Intermediate,8,Pluralsight,Slow,5,CS,https://example.com/course/189
Microprocessor Systems,Beginner,3,Coursera,Slow,5,CS,https://example.com/course/190
Digital Logic Design,Beginner,7,Unacademy,Moderate,5,CS,https://example.com/course/191
Digital Logic Design,Advanced,5,Pluralsight,Moderate,1,CS,https://example.com/course/192
Digital Logic Design,Advanced,4,Unacademy,Moderate,1,CS,https://example.com/course/193
Data Analytics,Advanced,12,Coursera,Fast,1,CS,https://example.com/course/194
DSA,Intermediate,7,Unacademy,Moderate,3,CS,https://example.com/course/195
Microprocessor Systems,Advanced,3,Coursera,Slow,1,CS,https://example.com/course/196
Microprocessor Systems,Intermediate,8,Pluralsight,Fast,4,CS,https://example.com/course/197
Data Analytics,Advanced,12,edX,Moderate,4,CS,https://example.com/course/198
Digital Logic Design,Intermediate,1,Pluralsight,Slow,4,CS,https://example.com/course/199
Digital Logic Design,Intermediate,11,Coursera,Slow,2,CS,https://example.com/course/200
DSA,Intermediate,1,edX,Fast,2,IT,https://example.com/course/1
Data Analytics,Beginner,8,Coursera,Fast,1,IT,https://example.com/course/2
Digital Logic Design,Beginner,10,Udemy,Fast,3,IT,https://example.com/course/3
Microprocessor Systems,Advanced,2,Unacademy,Moderate,2,IT,https://example.com/course/4
Data Analytics,Beginner,7,Unacademy,Moderate,2,IT,https://example.com/course/5
Operating Systems,Intermediate,5,edX,Slow,4,IT,https://example.com/course/6
Digital Logic Design,Intermediate,1,Unacademy,Moderate,5,IT,https://example.com/course/7
ML,Intermediate,1,Pluralsight,Slow,5,IT,https://example.com/course/8
Computer networks,Advanced,12,Pluralsight,Fast,3,IT,https://example.com/course/9
Cloud computing,Beginner,4,Coursera,Fast,1,IT,https://example.com/course/10
Cloud computing,Beginner,3,Pluralsight,Fast,1,IT,https://example.com/course/11
DSA,Advanced,8,Coursera,Moderate,1,IT,https://example.com/course/12
Software engineering,Beginner,1,Pluralsight,Slow,5,IT,https://example.com/course/13
Cloud computing,Beginner,7,Udemy,Fast,4,IT,https://example.com/course/14
Computer networks,Beginner,6,Pluralsight,Moderate,3,IT,https://example.com/course/15
DSA,Advanced,7,Coursera,Slow,1,IT,https://example.com/course/16
Cloud computing,Beginner,4,edX,Slow,3,IT,https://example.com/course/17
DSA,Beginner,11,edX,Fast,5,IT,https://example.com/course/18
DSA,Beginner,7,edX,Slow,4,IT,https://example.com/course/19
Data science,Beginner,8,edX,Fast,4,IT,https://example.com/course/20
Microprocessor Systems,Intermediate,9,Pluralsight,Fast,3,IT,https://example.com/course/21
Data science,Intermediate,1,Unacademy,Slow,4,IT,https://example.com/course/22
Software engineering,Intermediate,4,edX,Fast,1,IT,https://example.com/course/23
Computer networks,Advanced,2,edX,Fast,1,IT,https://example.com/course/24
Software engineering,Advanced,6,Udemy,Moderate,2,IT,https://example.com/course/25
Computer networks,Advanced,10,Coursera,Slow,2,IT,https://example.com/course/26
Cloud computing,Beginner,3,edX,Slow,3,IT,https://example.com/course/27
Cloud computing,Advanced,9,Unacademy,Moderate,1,IT,https://example.com/course/28
DSA,Intermediate,10,Udemy,Moderate,3,IT,https://example.com/course/29
Data science,Beginner,9,Coursera,Fast,2,IT,https://example.com/course/30
Data science,Advanced,5,Unacademy,Fast,4,IT,https://example.com/course/31
Software engineering,Intermediate,10,Coursera,Fast,2,IT,https://example.com/course/32
Computer networks,Beginner,11,Udemy,Fast,2,IT,https://example.com/course/33
Microprocessor Systems,Intermediate,9,Udemy,Moderate,1,IT,https://example.com/course/34
Computer networks,Intermediate,8,Udemy,Slow,1,IT,https://example.com/course/35
Data science,Beginner,10,Unacademy,Moderate,5,IT,https://example.com/course/36
Software engineering,Advanced,5,edX,Moderate,2,IT,https://example.com/course/37
Computer networks,Beginner,12,Pluralsight,Slow,2,IT,https://example.com/course/38
Microprocessor Systems,Advanced,12,Coursera,Slow,1,IT,https://example.com/course/39
Software engineering,Intermediate,11,Coursera,Moderate,4,IT,https://example.com/course/40
Computer networks,Advanced,10,Udemy,Slow,1,IT,https://example.com/course/41
Cloud computing,Advanced,4,Pluralsight,Slow,2,IT,https://example.com/course/42
Computer networks,Beginner,9,Pluralsight,Fast,5,IT,https://example.com/course/43
Microprocessor Systems,Intermediate,10,Pluralsight,Fast,4,IT,https://example.com/course/44
DSA,Beginner,9,Pluralsight,Fast,3,IT,https://example.com/course/45
Software engineering,Beginner,10,edX,Moderate,5,IT,https://example.com/course/46
DSA,Advanced,9,Unacademy,Fast,4,IT,https://example.com/course/47
DSA,Beginner,1,Pluralsight,Fast,1,IT,https://example.com/course/48
Computer networks,Advanced,12,Coursera,Slow,5,IT,https://example.com/course/49
Cloud computing,Intermediate,3,Coursera,Fast,2,IT,https://example.com/course/50
Cloud computing,Intermediate,7,Unacademy,Moderate,2,IT,https://example.com/course/51
Cloud computing,Advanced,6,Unacademy,Moderate,4,IT,https://example.com/course/52
DSA,Beginner,11,Pluralsight,Fast,2,IT,https://example.com/course/53
Microprocessor Systems,Advanced,5,Unacademy,Slow,4,IT,https://example.com/course/54
Cloud computing,Intermediate,9,edX,Slow,4,IT,https://example.com/course/55
Data science,Advanced,5,Unacademy,Moderate,2,IT,https://example.com/course/56
Software engineering,Beginner,1,Unacademy,Fast,3,IT,https://example.com/course/57
Data science,Beginner,12,Coursera,Slow,2,IT,https://example.com/course/58
Computer networks,Beginner,5,edX,Fast,3,IT,https://example.com/course/59
DSA,Advanced,6,Udemy,Moderate,3,IT,https://example.com/course/60
DSA,Advanced,11,Pluralsight,Fast,2,IT,https://example.com/course/61
Software engineering,Advanced,11,Unacademy,Fast,5,IT,https://example.com/course/62
Cloud computing,Intermediate,1,Udemy,Fast,5,IT,https://example.com/course/63
Microprocessor Systems,Advanced,3,Pluralsight,Moderate,1,IT,https://example.com/course/64
Microprocessor Systems,Advanced,4,Pluralsight,Slow,4,IT,https://example.com/course/65
DSA,Beginner,12,Unacademy,Slow,2,IT,https://example.com/course/66
Software engineering,Advanced,4,edX,Moderate,1,IT,https://example.com/course/67
Software engineering,Advanced,2,Udemy,Fast,2,IT,https://example.com/course/68
DSA,Beginner,3,Pluralsight,Slow,5,IT,https://example.com/course/69
Data science,Advanced,8,Unacademy,Fast,2,IT,https://example.com/course/70
Microprocessor Systems,Beginner,9,Udemy,Moderate,4,IT,https://example.com/course/71
DSA,Intermediate,2,Coursera,Slow,4,IT,https://example.com/course/72
Microprocessor Systems,Advanced,7,Unacademy,Slow,4,IT,https://example.com/course/73
Microprocessor Systems,Advanced,4,Udemy,Fast,1,IT,https://example.com/course/74
Computer networks,Intermediate,11,Pluralsight,Moderate,4,IT,https://example.com/course/75
Data science,Beginner,4,edX,Moderate,2,IT,https://example.com/course/76
Data science,Beginner,12,Coursera,Fast,1,IT,https://example.com/course/77
Software engineering,Intermediate,4,Coursera,Fast,5,IT,https://example.com/course/78
Microprocessor Systems,Intermediate,12,edX,Slow,3,IT,https://example.com/course/79
Software engineering,Beginner,8,edX,Fast,5,IT,https://example.com/course/80
Microprocessor Systems,Intermediate,3,Coursera,Slow,4,IT,https://example.com/course/81
Computer networks,Advanced,2,Pluralsight,Moderate,2,IT,https://example.com/course/82
Computer networks,Intermediate,10,Coursera,Moderate,2,IT,https://example.com/course/83
DSA,Advanced,9,Unacademy,Fast,2,IT,https://example.com/course/84
Computer networks,Intermediate,8,edX,Moderate,1,IT,https://example.com/course/85
Microprocessor Systems,Beginner,4,Pluralsight,Fast,1,IT,https://example.com/course/86
Computer networks,Advanced,5,Udemy,Fast,5,IT,https://example.com/course/87
Computer networks,Intermediate,8,Coursera,Moderate,3,IT,https://example.com/course/88
DSA,Beginner,5,edX,Fast,1,IT,https://example.com/course/89
Data science,Intermediate,6,Coursera,Slow,4,IT,https://example.com/course/90
Microprocessor Systems,Intermediate,8,Pluralsight,Slow,4,IT,https://example.com/course/91
Software engineering,Advanced,8,Pluralsight,Slow,5,IT,https://example.com/course/92
Computer networks,Beginner,11,Coursera,Fast,2,IT,https://example.com/course/93
Data science,Intermediate,2,Udemy,Moderate,1,IT,https://example.com/course/94
DSA,Advanced,9,Udemy,Moderate,4,IT,https://example.com/course/95
Microprocessor Systems,Advanced,6,Udemy,Slow,5,IT,https://example.com/course/96
Microprocessor Systems,Beginner,9,Coursera,Fast,1,IT,https://example.com/course/97
Microprocessor Systems,Beginner,11,Coursera,Fast,1,IT,https://example.com/course/98
DSA,Beginner,2,Pluralsight,Fast,3,IT,https://example.com/course/99
Microprocessor Systems,Intermediate,10,Unacademy,Fast,4,IT,https://example.com/course/100
Microprocessor Systems,Beginner,5,Pluralsight,Slow,5,IT,https://example.com/course/101
Data science,Beginner,4,Coursera,Moderate,1,IT,https://example.com/course/102
Software engineering,Advanced,4,Coursera,Fast,2,IT,https://example.com/course/103
Cloud computing,Intermediate,4,Udemy,Fast,5,IT,https://example.com/course/104
Software engineering,Beginner,6,Udemy,Slow,2,IT,https://example.com/course/105
Software engineering,Beginner,9,Udemy,Moderate,4,IT,https://example.com/course/106
Microprocessor Systems,Intermediate,8,Unacademy,Fast,1,IT,https://example.com/course/107
Microprocessor Systems,Beginner,10,edX,Slow,1,IT,https://example.com/course/108
Software engineering,Beginner,11,Coursera,Moderate,2,IT,https://example.com/course/109
Data science,Beginner,6,edX,Fast,4,IT,https://example.com/course/110
Cloud computing,Advanced,9,Pluralsight,Slow,5,IT,https://example.com/course/111
Microprocessor Systems,Intermediate,6,Udemy,Slow,1,IT,https://example.com/course/112
Computer networks,Advanced,11,Unacademy,Slow,2,IT,https://example.com/course/113
Computer networks,Beginner,3,Pluralsight,Slow,4,IT,https://example.com/course/114
Computer networks,Advanced,4,Coursera,Slow,5,IT,https://example.com/course/115
DSA,Advanced,1,Pluralsight,Fast,4,IT,https://example.com/course/116
DSA,Advanced,1,Udemy,Fast,3,IT,https://example.com/course/117
Data science,Beginner,9,Udemy,Moderate,1,IT,https://example.com/course/118
DSA,Intermediate,5,Udemy,Fast,1,IT,https://example.com/course/119
Cloud computing,Intermediate,3,Pluralsight,Fast,3,IT,https://example.com/course/120
DSA,Intermediate,8,Udemy,Slow,3,IT,https://example.com/course/121
Computer networks,Advanced,9,Coursera,Slow,3,IT,https://example.com/course/122
Cloud computing,Advanced,8,Udemy,Slow,1,IT,https://example.com/course/123
DSA,Advanced,5,Pluralsight,Moderate,4,IT,https://example.com/course/124
Data science,Beginner,1,edX,Slow,4,IT,https://example.com/course/125
Cloud computing,Beginner,8,edX,Moderate,5,IT,https://example.com/course/135
Microprocessor Systems,Intermediate,12,Unacademy,Moderate,1,IT,https://example.com/course/136
Cloud computing,Beginner,4,Coursera,Moderate,1,IT,https://example.com/course/137
Computer networks,Intermediate,5,Coursera,Slow,5,IT,https://example.com/course/138
Cloud computing,Intermediate,12,Udemy,Moderate,2,IT,https://example.com/course/139
Software engineering,Advanced,2,Coursera,Fast,4,IT,https://example.com/course/140
Cloud computing,Advanced,9,Udemy,Slow,1,IT,https://example.com/course/141
Microprocessor Systems,Intermediate,1,Udemy,Moderate,3,IT,https://example.com/course/142
Data science,Beginner,7,Unacademy,Moderate,2,IT,https://example.com/course/143
Software engineering,Intermediate,2,edX,Fast,2,IT,https://example.com/course/144
DSA,Beginner,11,Udemy,Fast,3,IT,https://example.com/course/145
DSA,Intermediate,12,Udemy,Fast,4,IT,https://example.com/course/146
Cloud computing,Advanced,6,Coursera,Moderate,3,IT,https://example.com/course/147
Software engineering,Advanced,2,edX,Moderate,4,IT,https://example.com/course/148
Data science,Beginner,2,Coursera,Moderate,1,IT,https://example.com/course/149
Cloud computing,Beginner,1,edX,Moderate,1,IT,https://example.com/course/150
Software engineering,Advanced,11,edX,Fast,3,IT,https://example.com/course/151
Computer networks,Intermediate,1,Unacademy,Slow,5,IT,https://example.com/course/152
Microprocessor Systems,Intermediate,10,Unacademy,Moderate,3,IT,https://example.com/course/153
DSA,Beginner,4,Coursera,Moderate,3,IT,https://example.com/course/154
Data science,Advanced,5,Unacademy,Moderate,4,IT,https://example.com/course/155
Cloud computing,Beginner,7,edX,Slow,2,IT,https://example.com/course/156
Microprocessor Systems,Intermediate,3,Udemy,Moderate,1,IT,https://example.com/course/157
Computer networks,Beginner,8,Pluralsight,Fast,2,IT,https://example.com/course/158
Data science,Advanced,7,Unacademy,Slow,5,IT,https://example.com/course/159
Data science,Intermediate,8,Pluralsight,Slow,2,IT,https://example.com/course/160
Software engineering,Beginner,8,Coursera,Moderate,3,IT,https://example.com/course/161
Cloud computing,Advanced,6,Udemy,Slow,5,IT,https://example.com/course/162
Microprocessor Systems,Advanced,4,Pluralsight,Moderate,4,IT,https://example.com/course/163
Software engineering,Advanced,7,Udemy,Fast,1,IT,https://example.com/course/164
Software engineering,Intermediate,5,Unacademy,Slow,5,IT,https://example.com/course/165
Cloud computing,Intermediate,1,Coursera,Slow,3,IT,https://example.com/course/166
DSA,Beginner,4,Coursera,Slow,3,IT,https://example.com/course/167
DSA,Advanced,1,Pluralsight,Slow,3,IT,https://example.com/course/168
Microprocessor Systems,Advanced,12,Unacademy,Moderate,2,IT,https://example.com/course/169
Computer networks,Intermediate,5,Unacademy,Fast,5,IT,https://example.com/course/170
Data science,Beginner,12,Pluralsight,Fast,2,IT,https://example.com/course/171
Computer networks,Beginner,8,Coursera,Fast,4,IT,https://example.com/course/172
Data science,Beginner,1,Coursera,Moderate,2,IT,https://example.com/course/173
DSA,Advanced,6,Udemy,Fast,2,IT,https://example.com/course/174
Software engineering,Intermediate,5,Udemy,Fast,5,IT,https://example.com/course/175
Software engineering,Beginner,1,Coursera,Slow,2,IT,https://example.com/course/176
Software engineering,Beginner,4,Coursera,Moderate,1,IT,https://example.com/course/177
Computer networks,Beginner,2,Pluralsight,Moderate,5,IT,https://example.com/course/178
Cloud computing,Intermediate,2,Coursera,Fast,1,IT,https://example.com/course/179
Software engineering,Advanced,3,Unacademy,Slow,5,IT,https://example.com/course/180
Cloud computing,Intermediate,11,Pluralsight,Fast,1,IT,https://example.com/course/181
Cloud computing,Beginner,8,Udemy,Moderate,2,IT,https://example.com/course/182
Computer networks,Advanced,8,Coursera,Fast,1,IT,https://example.com/course/183
DSA,Intermediate,9,Udemy,Slow,1,IT,https://example.com/course/184
Data science,Beginner,7,Unacademy,Moderate,5,IT,https://example.com/course/185
Software engineering,Intermediate,8,Unacademy,Fast,4,IT,https://example.com/course/186
Cloud computing,Beginner,12,Udemy,Moderate,1,IT,https://example.com/course/187
Computer networks,Advanced,8,Pluralsight,Fast,1,IT,https://example.com/course/188
DSA,Advanced,8,edX,Fast,2,IT,https://example.com/course/189
Microprocessor Systems,Intermediate,12,Udemy,Fast,1,IT,https://example.com/course/190
Computer networks,Beginner,11,Coursera,Slow,4,IT,https://example.com/course/191
Software engineering,Advanced,3,Coursera,Fast,2,IT,https://example.com/course/192
Microprocessor Systems,Intermediate,5,edX,Moderate,3,IT,https://example.com/course/193
Cloud computing,Beginner,9,Unacademy,Fast,5,IT,https://example.com/course/194
Microprocessor Systems,Advanced,3,Pluralsight,Moderate,2,IT,https://example.com/course/195
Data science,Beginner,8,edX,Slow,1,IT,https://example.com/course/196
Data science,Advanced,5,Pluralsight,Slow,3,IT,https://example.com/course/197
Software engineering,Intermediate,1,Pluralsight,Slow,5,IT,https://example.com/course/198
DSA,Advanced,6,Coursera,Moderate,2,IT,https://example.com/course/199
